citation,citation_2014,email,hindex,hindex_2014,iindex,iindex_2014,maxyear,minyear,name,position,tags,totaltitle
247,230,Verified email at glauner.info - ,9,8,7,7,2020,2012,Patrick GLAUNER,"Professor of Artificial Intelligence, Deggendorf Institute of Technology Homepage None","Machine Learning,Artificial Intelligence",29
248,105,Verified email at dfki.de - ,9,5,9,5,2017,2006,Stefan Stiene,"Senior Researcher,   German Research Center for Artificial Intelligence GmbH None",,25
249,216,Verified email at inceptioniai.org,9,9,9,9,2020,2009,Lizhong Ding (丁立中),"Inception Institute of Artificial Intelligence (IIAI), Abu Dhabi, UAE Machine Learning None","Machine Learning,Kernel Methods,Deep Learning,Model Selection",40
249,113,No verified email,7,7,7,4,2016,2005,Chaw Seng Woo,"Senior Lecturer, Department of Artificial Intelligence, Faculty of Computer Science & Information Technology Building, Universit Artificial Neural Network  Biomedical Image Segmentation  Wavelet Transform Applications  Data Hiding And Steganography (Multime None",Artificial Neural Network  Biomedical Image Segmentation  Wavelet Transform Applications  Data Hiding And Steganography (Multime,21
249,107,Verified email at iridia.ulb.ac.be - ,8,6,8,4,2013,2007,Michele Pace,Post Doc Researcher IRIDIA - Artificial Intelligence research laboratory of the  Université Libre de Bruxelles None,"Swarm Intelligence,Probability models,Mathematics,Multi Agent systems,Algorithmic trading",24
253,11,Verified email at synpulse.com,6,3,4,0,2013,1985,Reinhard Hirsch,Head of Advanced Data Analytics and Artificial Intelligence Group of Synpulse Predictive Analytics None,"Predictive Analytics,Artificial Intelligence,Computer Simulation,Financial Risk Management,Optimization and Automation",12
253,236,Verified email at dsic.upv.es - ,7,6,6,5,2020,2009,Fernando Martínez-Plumed,"VRAIN, Valencian Research Institute for Artificial Intelligence,  Universitat Politècnica de València None","Artificial Intelligence,Machine Learning,Data Science,Inductive Programming,IRT",71
254,231,Verified email at th-deg.de,8,8,7,7,2020,2012,Florian Wahl,"Researcher, Applied Artificial Intelligence, Deggendorf Institute of Technology Pattern recognition None","Pattern recognition,Measuring the circadian rhythm,Daily activity recognition,Embedded Systems,Pervasive Sensing",14
254,148,Verified email at objectivation.nl,8,6,8,6,2015,1996,Eelco den Heijer,"PhD Artificial Intelligence, Vrije Universiteit Amsterdam Artificial Intelligence None","Artificial Intelligence,Evolutionary Art,Generative Art,Genetic Programming,Evolutionary Computation",16
257,255,Verified email at dfki.de,6,6,5,5,2019,2017,Patrick Helber,"Researcher @ NVIDIA AI Lab, German Research Center for Artificial Intelligence & Vision Impulse Artificial Intelligence None","Artificial Intelligence,Machine Learning,Deep Learning,Computer Vision,Remote Sensing",17
257,255,Verified email at jojomoolayil.com - ,8,8,7,6,2019,2015,Jojo John Moolayil,"Artificial Intelligence, Decision Science & Internet of Things author and practitioner Homepage None","Artificial Intellgence,Internet of Things",57
257,71,Verified email at ingeniation.com,8,3,5,2,2018,1971,Asit Saha,"Consultant Scientist, Ingeniation - Artificial Intelligence, Perth, Australia Artificial General Intelligence None","Artificial General Intelligence,Mathematical Biology,Biomedical Engineering,System Biology,Applied Mathematics",44
261,96,Verified email at iiia.csic.es,8,5,8,3,2019,2003,Àngel García-Cerdaña,"Researcher at the Artificial Intelligence Research Institute (IIIA- CSIC ), Bellaterra, Catalonia","Mathematical Logic,Philosophical Logic,Fuzzy Logic,Artificial Intelligence",42
263,263,Verified email at inceptioniai.org,8,8,8,8,2020,2016,Yi Zhou,"Research Scientist, Inception Institute of Artificial Intelligence Computer Vision None","Computer Vision,Deep Learning,Video Surveillance,Medical Imaging",19
264,240,Verified email at de.bosch.com,7,7,6,6,2019,2013,Andras Kupcsik,Bosch Center for Artificial Intelligence Machine Learning None,"Machine Learning,Robotics",14
264,255,Verified email at gm.com - ,6,6,5,4,2018,2012,Arief Barkah Koesdwiady,"Senior Artificial Intelligence Specialist,  General Motors  Canada",Artificial Intelligence,19
265,220,Verified email at allenai.org,7,6,7,6,2020,2004,Dirk Groeneveld,Allen Institute for Artificial Intelligence natural language processing None,"natural language processing,neural networks,deep learning",10
